Ensembl	Name	Biotype	GeneLength	SumExonLength
ENSG00000242822	RN7SL575P	misc_RNA	297	297
ENSG00000168379	HLA-DPB2	pseudogene	16321	1603
ENSG00000168374	ARF4	protein_coding	26858	2595
ENSG00000217862	HIST1H4PS1	pseudogene	265	265
ENSG00000242816	RP11-768G7.3	lincRNA	3093	510
ENSG00000242818	RN7SL846P	misc_RNA	294	294
ENSG00000242834	RPL7AP56	pseudogene	791	791
ENSG00000242836	RP11-52L11.7	pseudogene	781	781
ENSG00000242837	RPL21P13	pseudogene	481	481
ENSG00000168384	HLA-DPA1	protein_coding	16195	5748
ENSG00000227200	RP11-121A14.3	sense_intronic	2934	373
ENSG00000227201	CNN2P1	pseudogene	918	918
ENSG00000227204	RBMY2JP	pseudogene	17074	1059
ENSG00000227205	PFN1P9	pseudogene	433	433
ENSG00000168389	MFSD2A	protein_coding	14837	3987
ENSG00000227203	SUB1P1	pseudogene	384	384
ENSG00000227208	LINC00552	pseudogene	2579	2577
ENSG00000227209	WARS2P1	pseudogene	537	537
ENSG00000168385	SEPT2	protein_coding	38928	7378
ENSG00000227206	XXbac-BCX196D17.5	lincRNA	4699	389
ENSG00000227207	RPL31P12	pseudogene	358	358
ENSG00000168386	FILIP1L	protein_coding	284373	5897
ENSG00000144395	CCDC150	protein_coding	123937	9687
ENSG00000242828	RP11-47P18.1	lincRNA	27922	403
ENSG00000242829	RPS26P21	pseudogene	348	348
ENSG00000266812	RP11-855A2.5	lincRNA	2552	414
ENSG00000266813	AF196779.1	miRNA	87	87
ENSG00000266810	MICG	pseudogene	132	132
ENSG00000266811	MIR3118-3	miRNA	75	75
ENSG00000242841	KRT8P35	pseudogene	1338	1338
ENSG00000266816	AL356750.1	miRNA	84	84
ENSG00000266817	AC118063.1	miRNA	91	91
ENSG00000144381	HSPD1	protein_coding	30157	4245
ENSG00000266814	AP000868.1	miRNA	98	98
ENSG00000266815	RP11-499O7.4	pseudogene	2859	125
ENSG00000168394	TAP1	protein_coding	8770	4742
ENSG00000168395	ING5	protein_coding	27444	8200
ENSG00000168393	DTYMK	protein_coding	11250	2451
ENSG00000227211	RP5-1100E15.4	pseudogene	348	348
ENSG00000227212	PFN1P7	pseudogene	399	399
ENSG00000227210	AC079145.4	antisense	13994	541
ENSG00000227215	RP11-445L13__B.3	antisense	6077	480
ENSG00000227216	PFN1P5	pseudogene	418	418
ENSG00000227213	SPATA13-AS1	antisense	1691	433
ENSG00000227214	HCG15	antisense	1282	1032
ENSG00000012504	NR1H4	protein_coding	90706	3460
ENSG00000168398	BDKRB2	protein_coding	39651	7008
ENSG00000227217	RP11-367J7.3	antisense	4698	758
ENSG00000168397	ATG4B	protein_coding	36645	6638
ENSG00000227218	RP11-203J24.8	antisense	6450	2520
ENSG00000266809	RP11-449D8.3	pseudogene	248	248
ENSG00000266807	MIR548H5	miRNA	60	60
ENSG00000266808	MIR548AE1	miRNA	70	70
ENSG00000266801	RP11-521L9.2	sense_intronic	3906	641
ENSG00000242856	VN1R105P	pseudogene	910	910
ENSG00000266802	MIR4419A	miRNA	77	77
ENSG00000217835	RP6-159A1.2	pseudogene	908	908
ENSG00000242858	CTC-484M2.1	pseudogene	602	602
ENSG00000266800	AL135791.1	miRNA	83	83
ENSG00000266805	RP11-61L19.1	sense_intronic	3485	3485
ENSG00000242852	ZNF709	protein_coding	52671	5708
ENSG00000242853	RN7SL749P	misc_RNA	288	288
ENSG00000266806	RP11-744K17.3	pseudogene	814	229
ENSG00000266803	RP1-77H15.1	sense_intronic	1285	689
ENSG00000242854	DNM1P24	pseudogene	4190	490
ENSG00000242855	RN7SL496P	misc_RNA	290	290
ENSG00000266804	AC234063.1	miRNA	98	98
ENSG00000242850	RPL23AP68	pseudogene	445	445
ENSG00000227222	DHX16	protein_coding	13566	2766
ENSG00000227220	RP11-69I8.3	antisense	126448	495
ENSG00000227227	AC017101.10	antisense	53949	571
ENSG00000227224	RP11-72H11.1	pseudogene	390	390
ENSG00000227225	MTND1P14	pseudogene	950	950
ENSG00000227228	UBDP1	pseudogene	5213	382
ENSG00000242849	ALDOAP1	pseudogene	1616	1078
ENSG00000203262	RP5-961K14.2	pseudogene	1110	1110
ENSG00000203260	AL356475.1	pseudogene	792	790
ENSG00000144369	FAM171B	protein_coding	71988	5819
ENSG00000203266	RP11-560A15.3	lincRNA	7178	770
ENSG00000203268	AL445199.1	pseudogene	665	663
ENSG00000144362	PHOSPHO2	protein_coding	7244	1477
ENSG00000144366	GULP1	protein_coding	304258	11974
